2444.355626,gneJ0,gneJ6
2651.280340,28436,26437
2851.197473,54284,52042
3051.767993,81935,81274
3252.519038,110387,110632
3452.665048,140399,141464
3653.263884,171831,173970
3853.838129,205412,208365
4054.410910,235841,239288
4254.462725,270677,274313
4454.711485,305135,308728
4654.928237,336646,340101
4855.218218,370631,373220
5055.888423,408453,410708
5256.668524,444449,446517
5456.848183,483105,484065
5656.982906,523389,522736
5857.465626,562134,560931
0057.523618,602453,599587
0257.692512,642622,639280
0458.154797,682042,678174
0658.303154,722359,717086
0858.966693,763211,757822
1059.012758,804391,799433
1259.617150,846094,840788
1500.106079,887853,882329
