2023-06-04-20-27-42.742951,gneJ0,gneJ6
2023-06-04-20-28-22.880611,0,0
2023-06-04-20-29-07.922283,4,8
2023-06-04-20-29-37.995697,328,332
2023-06-04-20-30-08.076612,612,616
2023-06-04-20-30-38.068092,912,916
2023-06-04-20-31-08.186895,1252,1256
2023-06-04-20-31-38.303296,1580,1584
2023-06-04-20-32-08.613980,1936,1940
2023-06-04-20-32-38.746879,2284,2288
2023-06-04-20-33-09.022912,2636,2640
2023-06-04-20-33-39.179762,2988,2992
2023-06-04-20-34-09.262161,3324,3328
2023-06-04-20-34-39.454783,3644,3648
2023-06-04-20-35-09.744257,3980,3984
2023-06-04-20-35-39.956492,4288,4292
2023-06-04-20-36-10.299187,4600,4604
2023-06-04-20-36-40.737367,4900,4904
2023-06-04-20-37-10.981477,5172,5176
2023-06-04-20-37-41.193582,5492,5496
2023-06-04-20-38-11.381620,5784,5788
2023-06-04-20-38-41.668452,6076,6080
2023-06-04-20-39-12.119721,6380,6384
2023-06-04-20-39-42.203052,6624,6628
2023-06-04-20-40-12.472796,6944,6948
2023-06-04-20-40-42.686242,7240,7244
2023-06-04-20-41-12.977980,7532,7536
2023-06-04-20-41-43.288395,7816,7820
2023-06-04-20-42-13.680785,8136,8140
2023-06-04-20-42-44.032851,8408,8412
2023-06-04-20-43-14.155499,8676,8680
2023-06-04-20-43-44.243458,8940,8944
2023-06-04-20-44-14.461194,9244,9248
2023-06-04-20-44-44.873038,9548,9552
2023-06-04-20-45-15.212915,9832,9836
2023-06-04-20-45-45.618470,10104,10108
2023-06-04-20-46-15.635544,10380,10384
2023-06-04-20-46-45.712055,10664,10668
2023-06-04-20-47-15.879358,10968,10972
2023-06-04-20-47-46.298759,11268,11272
2023-06-04-20-48-16.506009,11532,11536
2023-06-04-20-48-46.776657,11844,11848
2023-06-04-20-49-16.962351,12136,12140
2023-06-04-20-49-47.001027,12428,12432
2023-06-04-20-50-17.343378,12712,12716
2023-06-04-20-50-47.403094,12996,13000
2023-06-04-20-51-17.718910,13300,13304
2023-06-04-20-51-47.850161,13596,13600
2023-06-04-20-52-17.875432,13892,13896
2023-06-04-20-52-47.957224,14188,14192
2023-06-04-20-53-18.219229,14468,14472
2023-06-04-20-53-48.319016,14756,14760
